n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
50,6288,gauche,10,5,2,2,1,153,54,55,13,9,1,13,17,4,2,2,3,2,1,1,4,4,2,1,1
51,6434,gauche,11,5,2,2,1,183,59,64,15,10,2,13,16,4,2,3,3,2,1,1,5,4,2,1,1
52,6486,gauche,11,5,2,2,1,183,59,64,15,10,2,13,16,4,2,3,3,2,1,1,5,4,2,1,1
53,6689,gauche,13,8,3,2,1,270,72,67,18,10,3,13,14,4,3,5,6,3,2,2,7,6,3,2,1
54,6742,gauche,13,8,3,2,1,270,72,67,18,10,3,13,14,4,3,5,6,3,2,2,7,6,3,2,1
55,6952,gauche,16,11,4,2,1,314,85,62,19,9,4,13,14,4,3,6,8,4,2,3,9,7,3,2,1
56,7008,gauche,21,14,5,2,1,353,106,55,19,8,6,14,14,4,3,7,10,5,2,3,10,8,4,3,1
57,7167,gauche,25,16,6,2,1,373,133,49,19,6,7,15,15,4,3,8,11,6,2,3,12,9,5,3,1
58,7277,gauche,28,17,6,2,1,374,158,46,18,5,8,15,15,4,3,8,11,6,2,2,13,9,5,3,1
59,7448,gauche,26,14,4,1,1,337,181,64,21,6,8,12,14,4,2,9,8,5,2,2,15,7,4,2,1
60,7509,gauche,26,14,4,1,1,337,181,64,21,6,8,12,14,4,2,9,8,5,2,2,15,7,4,2,1
61,7686,gauche,15,8,2,1,1,358,166,104,32,8,7,7,9,3,3,9,5,3,1,1,13,4,3,1,1
62,7809,gauche,15,8,2,1,1,358,166,104,32,8,7,7,9,3,3,9,5,3,1,1,13,4,3,1,1
63,7935,gauche,9,4,1,1,1,479,139,119,41,9,6,4,5,2,2,6,3,2,1,1,9,2,2,1,1
64,7995,gauche,9,4,1,1,1,479,139,119,41,9,6,4,5,2,2,6,3,2,1,1,9,2,2,1,1
