n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
51,6388,gauche,3,2,2,1,1,23,10,23,12,11,12,20,10,3,13,7,4,3,6,6,5,5,1,1,1
52,6578,gauche,3,2,2,1,1,21,14,23,13,11,16,18,8,3,13,7,5,4,6,6,7,5,1,1,1
53,6677,gauche,4,2,1,1,1,17,19,20,14,11,20,17,7,3,13,7,5,5,6,6,9,5,1,1,1
54,6794,gauche,4,2,1,1,1,14,23,16,13,11,24,16,9,3,14,6,5,5,6,6,10,5,1,1,1
55,6901,gauche,4,2,1,1,1,11,24,12,12,11,26,16,14,3,14,5,5,6,5,7,10,4,1,1,1
56,7010,gauche,4,1,1,1,1,10,22,9,10,11,26,15,20,3,15,4,5,7,4,7,9,3,1,1,1
57,7169,gauche,4,1,1,1,1,10,19,7,9,12,24,13,27,3,14,3,4,8,3,7,7,3,1,1,1
58,7281,gauche,4,1,1,1,1,10,15,7,7,12,21,12,33,4,14,2,4,9,2,7,6,2,1,1,1
59,7448,gauche,4,1,1,1,1,9,12,8,7,13,19,11,38,6,14,2,3,10,2,7,4,2,1,1,1
60,7506,gauche,4,2,1,1,1,9,12,11,7,14,17,12,41,7,14,3,3,10,2,7,4,2,1,1,1
61,7674,gauche,4,2,2,1,1,8,14,16,8,15,16,13,43,9,15,5,4,9,2,7,4,2,1,1,1
62,7854,gauche,4,2,2,1,1,7,17,22,9,17,15,14,43,10,16,6,4,8,2,8,4,2,1,1,1
63,7915,gauche,3,2,3,1,1,7,19,28,10,18,15,16,42,11,17,6,4,6,3,9,3,2,2,1,1
