n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
215,26966,gauche,11,6,5,2,1,14,15,6,9,5,16,10,4,5,7,5,2,1,3,3,14,5,4,1,1
216,27181,gauche,10,5,4,2,1,13,16,7,11,7,15,12,3,5,8,4,2,1,2,4,14,4,4,1,1
217,27181,gauche,9,5,4,2,1,12,17,7,12,8,14,14,3,5,9,4,2,1,3,4,14,4,5,1,1
218,27424,gauche,8,5,4,2,1,13,20,8,12,9,15,15,3,6,9,3,2,2,3,4,12,4,5,2,1
219,27644,gauche,7,5,4,2,1,15,24,8,11,9,15,16,3,8,10,3,2,2,4,4,9,4,5,2,1
220,27646,gauche,6,5,4,3,2,18,31,8,10,9,16,16,4,10,10,3,3,3,5,4,8,4,5,2,1
221,27878,gauche,4,5,4,3,2,22,42,11,8,8,17,16,5,11,9,3,3,3,6,4,6,4,5,2,1
222,27884,gauche,4,5,4,3,2,27,54,15,7,7,20,16,6,11,9,4,3,3,7,4,6,4,5,2,1
223,27884,gauche,3,4,3,2,2,31,65,20,6,7,25,15,7,11,9,4,3,3,7,4,6,3,4,2,1
224,28107,gauche,3,3,3,2,2,34,71,24,6,6,30,14,7,10,8,5,3,3,6,4,5,3,4,2,1
225,28338,gauche,2,3,3,2,2,36,69,26,6,6,36,12,7,8,9,5,3,3,5,4,4,3,3,2,1
226,28344,gauche,1,4,2,1,1,43,24,13,11,9,37,9,8,9,13,7,3,1,4,5,2,3,2,1,1
227,28578,gauche,1,4,2,1,1,43,24,13,11,9,37,9,8,9,13,7,3,1,4,5,2,3,2,1,1
228,28582,gauche,2,3,2,1,1,44,11,8,12,9,27,8,9,8,13,8,2,1,3,4,2,3,2,2,1
229,28804,gauche,2,3,2,1,1,44,11,8,12,9,27,8,9,8,13,8,2,1,3,4,2,3,2,2,1
230,29043,gauche,2,2,1,1,1,32,7,7,9,7,18,6,8,6,10,8,2,2,3,3,3,2,2,2,1
231,29044,gauche,2,2,1,1,1,32,7,7,9,7,18,6,8,6,10,8,2,2,3,3,3,2,2,2,1
232,29287,gauche,2,1,1,1,1,17,7,7,6,6,12,6,6,4,6,7,2,2,2,2,4,2,2,1,1
233,29287,gauche,3,1,1,1,1,13,8,7,7,6,10,8,5,4,6,6,2,3,3,2,5,2,1,1,1
234,29516,gauche,4,1,1,1,1,12,10,9,8,6,10,10,5,5,6,6,2,5,3,2,7,2,2,1,1
235,29516,gauche,4,1,1,1,1,12,10,9,8,6,10,10,5,5,6,6,2,5,3,2,7,2,2,1,1
236,29762,gauche,9,1,1,1,1,18,15,19,14,9,9,10,7,9,8,7,3,9,5,3,14,3,2,1,1
237,29762,gauche,9,1,1,1,1,18,15,19,14,9,9,10,7,9,8,7,3,9,5,3,14,3,2,1,1
238,29998,gauche,10,2,2,2,1,24,16,41,25,9,6,5,10,18,16,5,3,15,9,5,20,3,2,1,1
239,29999,gauche,10,3,3,2,1,22,13,41,25,9,6,5,9,18,17,4,3,15,10,5,29,5,2,1,1
240,30246,gauche,20,9,7,5,3,18,9,38,23,8,6,5,8,17,17,3,3,13,9,5,79,19,8,3,1
241,30248,gauche,48,24,17,11,5,14,6,32,20,8,6,5,6,16,16,3,3,11,8,5,197,53,23,8,2
242,30252,gauche,48,24,17,11,5,14,6,32,20,8,6,5,6,16,16,3,3,11,8,5,197,53,23,8,2
243,30509,gauche,162,79,56,33,15,8,6,18,11,7,7,5,4,13,17,3,4,8,6,6,625,179,80,25,6
244,30748,gauche,224,107,76,44,20,8,9,13,7,8,8,4,4,12,19,3,5,6,5,7,837,242,108,33,8
245,30748,gauche,226,103,73,42,20,31,35,9,4,9,11,5,15,13,26,6,7,8,4,7,787,230,103,32,8
246,30751,gauche,165,74,52,31,14,45,43,11,5,9,11,6,19,13,26,7,8,10,4,7,561,164,74,23,6
247,31000,gauche,101,43,31,18,9,57,47,12,6,10,10,7,23,12,24,6,7,10,4,6,331,96,44,14,4
248,31239,gauche,50,20,14,9,4,63,45,12,7,11,9,7,23,10,22,6,6,10,4,6,151,44,21,7,2
249,31239,gauche,21,7,5,4,2,61,39,12,8,11,7,6,21,8,18,5,4,9,3,5,52,15,8,3,1
250,31493,gauche,11,4,2,2,1,42,22,9,8,9,7,5,13,4,11,3,2,4,2,4,13,5,4,2,1
251,31494,gauche,11,4,2,2,1,42,22,9,8,9,7,5,13,4,11,3,2,4,2,4,13,5,4,2,1
252,31737,gauche,15,5,2,2,1,32,16,9,8,7,8,6,10,3,9,3,1,3,2,4,16,6,5,2,1
253,31737,gauche,17,6,3,2,2,27,13,11,10,6,11,7,8,3,6,4,1,2,2,4,18,6,5,2,1
254,31998,gauche,15,6,3,3,2,33,22,23,17,5,14,11,8,3,5,5,2,2,3,4,16,5,6,3,2
255,31998,gauche,15,6,3,3,2,33,22,23,17,5,14,11,8,3,5,5,2,2,3,4,16,5,6,3,2
256,32248,gauche,8,4,2,3,1,51,42,37,26,6,16,16,11,4,6,6,3,2,3,5,9,3,4,2,1
257,32248,gauche,8,4,2,3,1,51,42,37,26,6,16,16,11,4,6,6,3,2,3,5,9,3,4,2,1
258,32252,gauche,5,2,2,3,1,57,51,42,28,6,16,19,12,5,7,6,4,2,3,5,6,2,3,2,1
259,32509,gauche,3,2,2,3,1,59,55,42,29,6,17,21,13,5,7,6,4,2,3,5,4,2,2,2,1
260,32511,gauche,2,1,2,2,1,54,54,39,28,6,18,23,12,5,7,6,6,2,3,5,3,1,2,2,1
261,32760,gauche,1,1,3,2,1,45,47,33,27,6,19,24,11,6,8,6,7,2,3,4,3,1,2,2,1
262,33026,gauche,2,1,4,2,1,26,28,23,24,5,19,23,8,6,8,5,9,3,3,4,2,2,2,2,1
263,33027,gauche,2,1,4,2,1,26,28,23,24,5,19,23,8,6,8,5,9,3,3,4,2,2,2,2,1
264,33285,gauche,2,2,4,2,1,21,22,19,22,5,19,21,7,5,8,5,9,3,3,4,2,2,2,2,1
265,33286,gauche,2,2,4,2,1,21,19,16,21,5,20,18,6,5,7,5,8,3,3,4,3,3,2,1,1
266,33567,gauche,3,3,4,2,1,34,25,11,17,6,26,13,6,3,6,6,7,3,3,4,4,3,2,1,1
267,33568,gauche,3,3,4,2,1,34,25,11,17,6,26,13,6,3,6,6,7,3,3,4,4,3,2,1,1
268,33570,gauche,3,3,3,2,1,48,37,8,15,7,30,12,6,3,6,8,7,3,3,4,5,3,2,1,1
269,33828,gauche,3,3,3,2,1,68,52,6,14,8,32,10,7,3,7,12,8,3,3,5,5,3,2,1,1
270,33830,gauche,4,2,1,2,1,144,69,10,13,13,23,8,12,7,11,77,25,5,4,6,3,3,1,1,1
271,34109,gauche,7,2,2,2,1,135,54,11,13,14,22,9,11,9,11,100,32,6,4,6,6,4,1,1,1
272,34112,gauche,18,4,2,2,1,119,39,11,14,15,22,10,10,12,11,114,36,5,4,6,19,6,3,2,1
273,34369,gauche,43,8,4,2,2,107,33,14,15,14,22,11,8,13,10,115,35,5,4,6,51,12,5,3,2
274,34372,gauche,84,14,7,4,2,106,41,23,16,13,22,11,6,14,9,106,31,4,4,5,105,22,10,5,3
275,34375,gauche,84,14,7,4,2,106,41,23,16,13,22,11,6,14,9,106,31,4,4,5,105,22,10,5,3
276,34654,gauche,181,29,14,7,4,129,88,59,19,10,21,9,5,13,6,79,16,2,3,3,236,44,20,11,5
277,34917,gauche,210,33,15,8,4,135,109,81,20,10,21,7,6,12,4,73,11,2,3,2,276,50,23,12,6
278,34923,gauche,209,32,15,8,4,127,119,96,21,9,22,6,7,12,4,72,8,2,3,2,275,49,23,12,6
279,35203,gauche,181,28,12,7,4,109,115,100,19,9,22,6,8,13,5,75,8,2,3,2,237,42,19,10,5
280,35206,gauche,181,28,12,7,4,109,115,100,19,9,22,6,8,13,5,75,8,2,3,2,237,42,19,10,5
281,35207,gauche,83,13,5,4,2,61,77,73,13,9,22,10,10,13,8,74,10,4,5,3,104,19,8,5,3
282,35479,gauche,41,7,3,3,1,42,55,52,10,9,22,14,11,12,9,69,11,5,5,4,50,11,4,3,2
283,35480,gauche,41,7,3,3,1,42,55,52,10,9,22,14,11,12,9,69,11,5,5,4,50,11,4,3,2
284,35757,gauche,6,3,0,2,1,23,25,21,8,10,29,21,10,9,10,61,11,6,5,4,6,4,1,1,1
285,35758,gauche,4,2,0,2,1,18,18,17,10,10,32,22,9,8,10,57,11,6,5,4,3,3,1,1,1
286,36023,gauche,4,2,0,2,1,14,14,17,13,10,34,22,7,7,9,52,9,6,4,5,3,3,1,1,1
287,36023,gauche,4,1,1,2,1,11,12,19,16,10,34,20,5,7,9,44,7,6,4,5,3,3,1,1,1
288,36334,gauche,4,1,1,2,1,9,12,23,19,9,30,19,5,7,9,34,6,7,4,5,2,2,1,1,1
289,36334,gauche,4,1,1,2,1,9,12,23,19,9,30,19,5,7,9,34,6,7,4,5,2,2,1,1,1
290,36337,gauche,4,1,1,2,2,7,16,29,22,9,19,22,11,9,11,18,5,8,5,6,3,2,1,1,1
291,36620,gauche,5,1,1,2,2,8,18,31,23,10,15,25,16,10,12,12,5,8,5,7,4,1,2,1,1
292,36627,gauche,5,1,1,1,2,11,20,32,23,11,11,28,22,11,13,8,5,8,4,7,4,1,2,1,1
293,36900,gauche,5,1,1,1,2,11,20,32,23,11,11,28,22,11,13,8,5,8,4,7,4,1,2,1,1
294,36905,gauche,4,2,2,1,2,18,20,28,23,15,8,30,33,14,16,4,5,6,3,9,3,1,3,1,1
295,37202,gauche,4,2,2,1,1,21,19,24,22,17,8,29,37,16,16,3,5,5,2,10,3,2,3,1,1
296,37212,gauche,3,2,2,1,1,24,19,20,20,19,8,28,38,17,17,3,5,5,2,11,3,2,3,1,1
297,37213,gauche,2,1,2,1,1,32,21,16,19,20,8,27,37,17,18,3,5,5,2,12,3,2,2,1,1
298,37510,gauche,2,1,2,1,1,46,26,15,19,21,8,25,33,16,18,3,4,5,2,12,3,2,2,1,1
299,37510,gauche,3,1,2,2,1,67,31,16,19,21,7,22,28,14,19,3,4,6,2,11,3,2,2,1,1
300,37814,gauche,12,1,2,2,1,119,32,32,22,17,5,10,12,11,19,3,2,8,3,10,8,2,2,1,1
301,37814,gauche,15,1,2,2,1,115,26,36,21,15,6,8,10,12,18,4,2,8,3,9,9,2,2,1,1
302,37817,gauche,17,1,2,2,1,100,19,37,18,13,7,8,11,13,16,5,3,7,4,8,12,2,2,1,1
303,38124,gauche,17,1,2,2,1,77,15,35,15,12,12,10,13,14,14,7,5,7,4,7,13,2,3,1,1
304,38127,gauche,16,2,3,3,1,54,13,30,11,11,22,14,15,16,11,11,8,7,4,6,14,2,3,2,1
305,38456,gauche,15,2,4,3,1,36,12,24,8,9,40,22,19,18,10,19,14,8,5,5,14,3,4,2,1
306,38459,gauche,14,3,5,4,1,23,12,17,6,8,63,35,24,21,10,30,21,10,6,4,16,3,5,3,1
307,38459,gauche,16,3,6,5,1,18,12,11,4,7,88,50,31,26,13,42,30,14,8,5,17,4,5,4,1
308,38779,gauche,17,4,6,6,2,18,10,8,4,6,109,64,38,31,18,51,37,18,11,7,18,5,6,4,1
309,38780,gauche,18,4,6,6,2,21,9,7,4,6,121,75,43,36,24,56,42,22,13,9,18,5,6,4,1
310,39076,gauche,17,4,6,6,2,25,10,9,5,7,119,77,45,40,29,54,43,23,16,10,16,5,6,4,1
311,39076,gauche,14,4,5,5,2,29,14,13,8,8,105,71,41,42,31,46,39,23,17,11,13,4,5,4,1
312,39081,gauche,10,4,4,4,2,33,20,19,11,9,83,58,34,41,31,35,32,20,18,11,10,3,5,3,1
313,39409,gauche,7,3,4,3,1,35,28,26,15,9,59,42,24,37,28,24,24,16,17,11,7,3,5,3,1
314,39419,gauche,5,3,4,3,1,36,36,33,20,10,37,27,16,33,24,15,17,12,15,10,6,3,5,3,1
315,39443,gauche,4,3,4,3,1,36,42,38,24,11,22,16,11,29,21,9,12,8,12,9,5,2,6,3,1
316,39778,gauche,4,3,5,3,1,36,42,39,27,12,11,11,11,25,19,6,8,5,10,9,5,3,6,3,1
317,39778,gauche,3,3,5,3,1,33,39,36,28,13,5,11,12,21,18,5,7,3,8,9,4,3,6,3,1
318,40071,gauche,3,3,5,3,1,30,33,31,27,13,3,13,14,17,17,4,6,2,7,9,4,3,7,3,1
319,40072,gauche,2,3,5,2,1,25,26,24,26,13,4,15,15,14,16,4,5,2,6,8,3,3,7,2,1
320,40075,gauche,2,3,5,2,1,20,22,18,23,11,7,16,14,11,14,4,4,2,5,7,2,4,7,2,1
321,40387,gauche,2,4,4,2,1,17,22,14,20,10,9,16,11,9,12,4,3,1,5,7,1,4,6,2,1
322,40390,gauche,2,4,4,2,1,18,24,12,18,9,12,14,8,7,10,4,2,1,5,6,1,4,6,1,1
323,40704,gauche,2,4,3,2,1,22,28,11,15,8,15,11,5,5,9,4,2,1,4,5,1,4,5,1,1
324,40711,gauche,3,4,3,2,1,28,31,10,14,8,16,9,4,4,7,4,2,1,4,5,2,4,4,1,1
325,40711,gauche,3,3,3,2,2,35,32,11,13,8,16,7,4,3,6,4,2,1,4,4,2,4,3,2,1
326,41024,gauche,3,3,3,3,2,44,30,12,12,8,14,6,5,3,6,3,3,1,3,4,3,5,3,2,1
327,41024,gauche,3,3,3,3,2,54,28,14,12,9,12,5,6,3,6,3,3,2,3,3,3,5,3,2,1
328,41410,gauche,2,3,3,2,2,66,25,18,12,10,10,5,7,4,6,3,3,2,3,3,4,5,3,1,1
329,41410,gauche,2,2,3,2,2,77,24,22,13,11,9,5,8,4,7,3,3,3,2,3,4,5,3,1,1
330,41416,gauche,2,2,3,2,2,85,24,25,15,12,8,5,8,5,8,3,3,3,2,3,4,5,3,1,1
331,41416,gauche,2,1,2,2,1,86,25,26,17,14,8,5,8,6,8,4,3,3,2,3,4,4,3,1,1
332,41720,gauche,2,1,2,2,1,80,25,24,18,15,8,5,8,6,8,4,3,4,2,3,4,3,3,1,1
333,41721,gauche,3,1,1,2,1,66,25,20,19,15,10,6,7,6,7,4,3,4,2,3,3,2,3,1,1
334,42044,gauche,3,1,1,2,1,49,24,16,19,16,11,7,6,6,7,3,3,3,2,3,3,1,2,1,1
335,42044,gauche,3,1,1,2,1,33,24,12,19,16,12,8,6,6,6,3,3,3,2,3,3,1,2,1,1
336,42363,gauche,3,2,1,2,1,23,27,10,20,16,13,8,6,7,6,3,3,3,2,4,3,1,2,1,1
337,42364,gauche,4,3,1,2,1,20,34,9,21,15,13,9,6,9,6,3,2,3,3,4,2,2,1,2,1
338,42372,gauche,4,4,1,1,1,24,46,10,21,14,13,10,7,10,7,3,3,3,3,4,2,2,1,2,1
339,42689,gauche,5,4,1,1,1,31,58,14,22,13,13,11,8,12,8,4,3,3,4,4,2,3,1,2,1
340,42692,gauche,5,5,1,1,1,41,68,20,21,12,14,12,9,12,9,4,4,4,4,4,2,3,1,2,1
341,42692,gauche,5,4,1,2,1,49,73,26,19,11,14,13,11,12,9,5,5,4,4,4,3,3,1,2,1
342,43036,gauche,5,4,2,2,1,55,71,31,17,10,15,12,12,11,8,5,5,5,4,4,4,4,2,2,1
343,43037,gauche,4,3,3,2,1,57,62,32,15,9,15,11,12,10,8,5,5,6,3,3,6,4,3,3,1
344,43389,gauche,4,3,4,2,1,53,49,30,13,9,15,10,11,8,7,5,5,6,2,3,7,4,4,3,1
345,43389,gauche,3,2,5,2,1,45,35,24,12,9,15,8,10,7,6,4,4,6,2,3,8,3,5,2,1
346,43391,gauche,3,2,5,2,1,34,25,17,11,8,16,6,8,6,6,4,3,5,1,3,8,3,5,2,1
347,43716,gauche,3,1,5,2,1,24,18,11,11,8,18,5,6,5,6,3,2,4,1,3,8,3,5,2,1
348,43719,gauche,2,1,5,2,1,16,15,7,11,7,21,5,5,5,6,2,2,3,2,3,7,2,4,2,1
349,43719,gauche,2,1,4,2,1,10,16,6,11,7,24,5,4,6,5,2,2,2,2,3,6,2,4,2,1
350,44078,gauche,2,2,4,2,1,6,22,16,10,13,26,4,5,6,4,2,2,2,3,3,2,2,4,1,1
351,44078,gauche,2,2,4,2,1,7,19,17,10,14,25,3,4,6,4,2,2,2,2,3,2,2,4,1,1
352,44087,gauche,1,2,3,2,1,8,15,16,10,14,23,3,4,6,3,3,2,3,2,3,2,2,3,1,1
353,44400,gauche,1,2,3,2,1,9,11,14,9,13,23,3,3,5,3,4,2,3,2,3,2,2,3,1,1
354,44403,gauche,3,4,5,4,2,10,8,11,8,11,33,17,16,15,10,15,12,12,11,8,7,7,7,6,4
355,44741,gauche,171,158,160,146,89,9,10,3,4,5,775,774,744,627,417,640,617,559,516,327,338,339,316,281,175
356,44748,gauche,171,158,160,146,89,9,10,3,4,5,775,774,744,627,417,640,617,559,516,327,338,339,316,281,175
357,44749,gauche,431,386,389,357,216,9,13,2,4,5,1933,1877,1812,1523,1015,1592,1517,1373,1257,793,833,837,781,686,425
358,45098,gauche,520,460,462,426,257,11,14,4,6,5,2328,2230,2156,1810,1207,1910,1810,1638,1495,942,996,1000,933,816,506
359,45100,gauche,536,469,470,434,261,14,13,5,7,6,2397,2267,2195,1839,1228,1959,1847,1671,1520,957,1019,1022,954,830,514
360,45108,gauche,536,469,470,434,261,14,13,5,7,6,2397,2267,2195,1839,1228,1959,1847,1671,1520,957,1019,1022,954,830,514
361,45473,gauche,38,29,29,28,17,117,19,22,15,10,160,156,157,116,83,127,118,107,94,59,64,65,61,51,31
362,45476,gauche,8,6,6,6,4,129,19,28,15,11,31,45,45,24,22,23,23,21,19,12,11,12,11,9,6
363,45476,gauche,8,6,6,6,4,129,19,28,15,11,31,45,45,24,22,23,23,21,19,12,11,12,11,9,6
364,45823,gauche,1,1,1,1,2,124,21,34,14,13,7,22,17,6,9,3,3,3,3,3,1,1,1,1,1
365,45823,gauche,1,1,1,1,2,124,21,34,14,13,7,22,17,6,9,3,3,3,3,3,1,1,1,1,1
366,45826,gauche,1,1,1,1,1,121,31,36,12,13,11,14,10,5,7,7,2,3,2,2,1,1,1,1,1
367,46198,gauche,1,1,1,1,1,121,31,36,12,13,11,14,10,5,7,7,2,3,2,2,1,1,1,1,1
368,46201,gauche,1,1,1,1,1,128,42,35,11,13,18,6,6,4,6,10,2,2,2,2,1,1,1,1,1
369,46202,gauche,1,1,1,1,1,122,43,34,11,13,22,4,6,3,6,11,2,2,2,2,1,1,1,1,1
370,46534,gauche,1,1,1,1,1,108,40,32,11,12,26,5,6,3,7,10,2,2,2,2,1,1,1,1,1
371,46534,gauche,1,1,1,1,1,108,40,32,11,12,26,5,6,3,7,10,2,2,2,2,1,1,1,1,1
372,46887,gauche,1,1,1,1,1,90,33,30,11,11,30,6,6,3,7,9,2,2,2,3,1,1,1,1,1
373,46887,gauche,2,1,1,1,1,67,19,25,11,11,35,11,6,2,9,6,1,2,2,4,2,1,1,1,1
374,46897,gauche,2,1,1,1,1,67,19,25,11,11,35,11,6,2,9,6,1,2,2,4,2,1,1,1,1
375,47241,gauche,4,1,1,2,1,64,11,20,9,12,30,15,5,2,9,5,2,2,3,6,3,1,1,1,1
376,47247,gauche,4,1,1,2,1,64,11,20,9,12,30,15,5,2,9,5,2,2,3,6,3,1,1,1,1
377,47247,gauche,5,1,1,2,1,51,9,13,9,11,21,16,6,3,8,5,4,1,3,6,4,1,1,1,1
378,47272,gauche,5,1,1,2,1,51,9,13,9,11,21,16,6,3,8,5,4,1,3,6,4,1,1,1,1
379,47601,gauche,5,2,1,1,1,32,10,7,10,10,16,14,7,4,8,4,6,1,4,5,3,2,1,1,1
380,47604,gauche,5,2,1,1,1,32,10,7,10,10,16,14,7,4,8,4,6,1,4,5,3,2,1,1,1
381,47968,gauche,4,3,1,2,2,25,12,10,13,12,14,10,6,4,9,3,6,1,3,5,2,3,1,1,1
382,47970,gauche,4,3,1,2,2,25,12,10,13,12,14,10,6,4,9,3,6,1,3,5,2,3,1,1,1
383,47970,gauche,3,3,1,2,2,26,11,13,13,13,14,8,6,4,10,3,4,1,3,4,2,4,2,1,1
384,48338,gauche,2,2,2,2,2,29,9,15,12,13,16,6,4,4,9,3,2,1,3,4,2,3,2,2,1
385,48338,gauche,3,1,2,2,2,28,8,15,12,12,17,5,4,4,9,3,1,1,3,4,3,3,2,2,1
386,48341,gauche,3,1,2,2,2,28,8,15,12,12,17,5,4,4,9,3,1,1,3,4,3,3,2,2,1
387,48719,gauche,4,1,2,2,2,26,8,13,11,11,16,5,5,4,8,4,1,1,3,4,4,2,2,2,1
388,48723,gauche,7,1,2,1,2,18,8,10,10,9,13,7,6,4,7,3,1,1,3,5,6,2,1,1,1
389,48724,gauche,7,1,2,1,2,18,8,10,10,9,13,7,6,4,7,3,1,1,3,5,6,2,1,1,1
390,49137,gauche,8,2,1,1,2,14,8,9,9,9,11,7,7,4,7,3,1,2,4,5,6,2,1,1,1
391,49138,gauche,8,2,1,1,2,13,7,8,9,10,11,8,7,4,6,3,1,2,3,5,6,3,1,1,1
392,49141,gauche,2,3,2,2,2,17,9,10,7,14,20,14,10,4,6,2,4,3,3,4,2,3,1,2,1
393,49509,gauche,2,2,2,2,1,19,10,11,8,13,21,17,10,4,7,2,5,2,3,4,2,2,1,2,1
394,49520,gauche,1,2,1,1,1,22,11,10,8,12,20,19,11,4,7,2,5,2,3,4,1,2,1,1,1
395,49521,gauche,1,1,1,1,1,25,11,9,8,11,18,20,11,4,7,3,5,2,2,4,1,1,1,1,1
396,49870,gauche,1,1,1,1,1,29,11,8,8,9,15,19,10,4,7,3,5,2,2,4,2,2,1,1,1
397,49871,gauche,1,1,1,1,1,33,12,7,7,9,11,18,9,4,7,4,4,2,3,3,2,2,2,1,1
398,49873,gauche,3,1,1,1,1,39,15,6,7,9,9,18,8,4,7,4,4,3,4,3,4,3,3,1,1
399,50257,gauche,7,2,2,1,1,46,20,5,7,10,7,19,8,4,8,4,3,3,6,3,7,4,4,1,1
400,50260,gauche,15,4,4,2,1,54,27,6,8,13,5,22,9,4,9,4,4,3,8,3,13,6,6,2,1
401,50260,gauche,25,5,5,2,1,62,33,7,10,15,4,26,10,5,10,4,5,3,9,4,21,8,7,2,1
402,50636,gauche,35,7,6,3,1,68,38,8,13,17,4,30,13,6,11,4,6,4,9,4,29,10,8,2,1
403,50636,gauche,42,9,6,3,2,69,40,11,17,18,4,33,15,7,11,5,7,4,9,5,34,11,8,2,1
404,50639,gauche,44,9,6,3,2,64,38,13,22,18,5,33,16,7,10,5,8,4,8,5,36,11,7,2,1
405,50639,gauche,44,9,6,3,2,64,38,13,22,18,5,33,16,7,10,5,8,4,8,5,36,11,7,2,1
406,51075,gauche,31,7,4,3,2,44,32,16,29,18,6,26,19,9,11,5,8,4,7,5,27,8,5,2,2
407,51076,gauche,23,5,5,4,3,57,47,33,46,27,7,22,20,10,12,6,8,4,7,5,32,15,16,13,9
408,51080,gauche,23,10,14,11,8,144,124,113,116,71,11,20,22,11,14,10,11,8,11,8,78,57,68,56,37
409,51511,gauche,36,24,36,26,19,354,302,304,273,168,18,22,26,14,17,22,19,17,19,15,192,160,184,155,100
410,51513,gauche,62,50,70,51,35,685,579,609,518,320,29,28,32,20,19,42,33,32,30,24,373,324,365,307,198
411,51513,gauche,94,80,108,79,54,1073,899,972,801,494,42,35,39,26,21,65,48,48,44,35,587,516,573,483,309
412,51516,gauche,122,107,140,103,70,1405,1167,1286,1038,640,53,40,44,32,22,86,62,63,55,44,771,680,747,631,402
413,51907,gauche,136,121,154,114,77,1569,1291,1445,1149,708,59,42,46,35,22,96,68,70,60,48,863,761,828,700,445
414,51909,gauche,129,119,145,109,73,1503,1226,1392,1091,673,57,39,42,34,19,92,65,67,57,45,826,729,788,667,422
415,52308,gauche,107,100,118,89,59,1233,995,1147,888,548,49,32,34,29,16,76,53,55,47,37,678,598,640,543,342
416,52314,gauche,74,71,81,62,40,852,678,797,608,376,37,23,24,22,12,53,37,38,32,26,468,412,437,371,233
417,52315,gauche,44,43,46,35,23,480,375,453,341,211,25,15,15,15,9,31,21,22,18,15,263,231,242,205,128
418,52317,gauche,21,22,21,16,10,209,156,199,148,93,18,10,7,9,6,14,9,10,8,8,113,99,101,85,53
419,52748,gauche,9,10,8,6,3,64,44,64,47,32,14,8,4,6,6,6,3,4,3,4,33,30,28,23,14
420,52751,gauche,4,6,4,2,2,15,10,20,15,13,15,7,2,5,6,2,2,1,2,3,6,7,5,4,2
421,52751,gauche,4,5,3,2,1,7,9,15,10,11,18,7,2,5,6,2,2,1,2,4,3,4,3,2,1
422,53171,gauche,4,5,3,2,1,6,11,15,9,12,23,8,3,6,7,2,2,1,2,4,3,3,3,2,1
423,53171,gauche,4,5,3,2,1,6,13,16,8,11,29,10,3,6,7,2,3,2,2,4,4,3,3,2,1
424,53174,gauche,4,4,2,3,1,6,14,16,7,11,36,13,4,6,8,3,5,2,3,4,4,3,3,2,1
425,53586,gauche,4,4,2,3,1,6,14,16,7,11,36,13,4,6,8,3,5,2,3,4,4,3,3,2,1
426,53588,gauche,3,3,2,3,1,8,14,14,6,10,47,21,4,6,8,3,6,2,3,4,4,3,2,2,1
427,53590,gauche,3,2,2,3,1,15,13,13,6,9,49,24,5,7,8,3,7,2,3,4,4,2,2,2,1
428,53595,gauche,2,1,2,3,1,27,12,12,6,9,48,25,5,7,8,3,7,2,3,4,4,2,2,2,1
429,53988,gauche,2,1,3,4,1,45,11,12,7,8,43,25,6,7,9,3,8,3,4,4,3,2,2,2,1
430,53990,gauche,1,1,3,4,2,66,12,13,7,7,37,23,8,7,9,3,9,3,5,4,3,2,2,2,1
431,53990,gauche,1,1,3,3,2,84,13,15,7,7,31,21,9,7,10,3,9,5,6,4,3,2,3,2,1
432,54410,gauche,1,1,3,3,2,95,14,16,7,7,26,18,9,7,10,3,10,6,6,4,3,1,3,2,1
433,54410,gauche,1,1,3,3,1,95,16,16,7,8,22,16,9,7,10,3,9,8,6,5,3,1,3,2,1
434,54413,gauche,1,1,3,2,1,87,17,15,7,9,20,14,9,7,10,3,8,8,6,5,3,1,3,2,1
435,54413,gauche,1,1,3,2,1,87,17,15,7,9,20,14,9,7,10,3,8,8,6,5,3,1,3,2,1
436,54850,gauche,1,2,3,2,1,62,17,12,9,11,19,14,9,6,11,3,6,7,4,7,3,2,3,1,1
437,54850,gauche,1,2,3,2,1,55,17,12,9,12,20,15,9,6,12,3,5,6,3,8,3,3,2,1,1
438,54852,gauche,2,3,2,2,1,52,18,12,9,13,22,16,10,5,12,3,4,5,3,8,3,3,2,1,1
439,55281,gauche,11,5,3,2,1,51,20,14,10,13,25,17,12,5,13,4,3,4,2,8,11,6,3,2,1
440,55287,gauche,41,16,7,4,2,48,23,17,10,13,29,17,13,6,12,4,3,4,2,7,41,17,7,4,2
441,55287,gauche,105,38,15,8,3,44,26,21,9,12,31,18,14,7,12,5,3,4,2,7,108,41,15,8,3
442,55290,gauche,202,71,27,14,5,39,29,26,9,12,33,18,14,8,11,6,3,4,2,6,212,78,27,15,5
443,55717,gauche,315,111,42,22,7,35,31,30,8,11,33,17,13,9,11,8,4,4,2,5,333,121,42,23,7
444,55723,gauche,412,144,56,28,9,34,30,33,8,10,34,17,12,9,11,9,4,4,3,4,438,158,55,30,9
445,55723,gauche,460,161,63,32,10,36,27,34,8,10,34,16,10,9,11,11,4,4,3,4,491,177,62,33,10
446,56175,gauche,445,155,62,31,9,39,23,32,8,10,34,15,9,9,10,11,4,4,3,3,477,170,62,33,9
447,56175,gauche,370,128,54,26,8,41,19,29,9,10,32,14,7,8,9,10,4,4,3,3,397,142,53,28,8
