n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
51,6128,droite,39,21,8,9,3,42,14,4,5,2,25,8,20,16,8,57,28,11,10,3,50,31,11,10,4
52,6234,droite,61,25,10,7,2,57,13,6,3,2,20,15,27,13,8,84,31,12,8,3,70,34,13,9,2
53,6395,droite,57,25,10,6,2,54,13,7,3,2,18,17,29,14,8,75,27,12,7,3,62,30,12,7,2
54,6451,droite,48,24,9,4,1,45,12,7,3,2,16,19,30,14,8,59,22,10,6,3,49,24,9,5,1
55,6613,droite,37,21,8,3,1,37,11,7,3,2,14,19,30,13,7,41,16,8,5,2,35,17,7,3,1
56,6727,droite,26,18,7,2,2,30,10,7,2,2,11,18,28,11,7,27,12,6,4,2,26,13,6,3,2
57,6900,droite,28,19,13,6,5,33,12,10,5,4,10,16,26,8,6,18,11,5,4,2,26,20,10,8,5
58,6961,droite,84,50,57,41,28,69,27,34,24,16,14,17,27,8,7,18,16,6,6,4,60,73,47,44,28
59,7133,droite,250,150,183,143,93,170,74,105,79,51,25,25,33,11,11,27,32,13,14,8,165,220,152,150,92
60,7258,droite,1575,1041,1260,1005,632,966,477,727,537,337,117,101,71,45,45,122,153,110,94,43,1112,1413,1043,1046,624
61,7322,droite,1575,1041,1260,1005,632,966,477,727,537,337,117,101,71,45,45,122,153,110,94,43,1112,1413,1043,1046,624
62,7454,droite,1608,1078,1304,1037,649,989,492,756,555,346,118,102,67,48,46,130,158,126,103,45,1159,1451,1080,1081,640
63,7595,droite,1413,959,1158,918,571,875,436,676,492,305,103,88,54,46,42,123,143,126,97,40,1037,1280,962,959,563
64,7747,droite,657,456,548,431,264,428,210,328,234,142,49,41,23,32,22,77,77,82,57,20,507,601,462,454,260
65,7892,droite,326,229,272,213,129,228,112,168,118,71,26,21,13,25,13,57,48,53,34,11,267,300,235,226,126
66,8043,droite,128,88,99,77,45,108,59,69,47,29,12,10,9,20,7,49,30,31,18,6,120,114,90,82,44
67,8115,droite,128,88,99,77,45,108,59,69,47,29,12,10,9,20,7,49,30,31,18,6,120,114,90,82,44
68,8191,droite,53,33,25,18,11,94,83,58,44,29,8,9,12,18,6,57,32,24,14,8,66,38,28,21,12
69,8418,droite,57,39,13,7,5,1652,1592,1322,1218,737,49,139,119,73,53,351,330,254,239,147,145,101,67,64,39
70,8500,droite,50,34,13,8,5,2137,2023,1704,1576,948,67,177,151,89,68,430,410,324,310,187,155,117,83,82,48
71,8669,droite,40,26,12,8,4,2362,2201,1871,1737,1038,79,196,167,95,75,460,439,354,342,204,151,119,90,90,52
72,8764,droite,33,18,12,9,4,2245,2063,1763,1641,975,88,190,162,88,71,430,406,333,325,192,134,106,84,86,48
73,8940,droite,29,12,11,8,4,1831,1656,1419,1325,783,97,167,138,71,60,350,323,269,264,154,110,84,70,71,39
74,9020,droite,32,10,12,8,3,1274,1129,963,900,527,123,145,108,51,45,251,223,188,184,105,86,59,53,52,29
75,9120,droite,37,10,13,7,4,775,662,555,516,298,189,155,100,46,39,193,163,143,136,76,106,77,77,68,44
76,9197,droite,43,13,15,7,5,486,398,332,298,169,321,230,154,84,60,247,217,206,185,105,255,220,216,185,126
77,9361,droite,43,13,15,7,5,486,398,332,298,169,321,230,154,84,60,247,217,206,185,105,255,220,216,185,126
78,9536,droite,30,17,18,11,12,1201,1044,983,841,483,1240,1005,966,741,412,1580,1489,1437,1272,749,2071,1999,1901,1647,1089
79,9633,droite,14,15,16,11,10,1209,1029,974,831,479,1213,1002,991,851,448,1602,1502,1436,1260,745,2067,2008,1904,1650,1080
80,9731,droite,14,15,16,11,10,1209,1029,974,831,479,1213,1002,991,851,448,1602,1502,1436,1260,745,2067,2008,1904,1650,1080
81,9925,droite,10,13,15,9,8,974,811,769,652,376,1002,826,808,743,379,1277,1194,1138,991,586,1633,1588,1505,1303,849
82,10010,droite,14,6,7,4,2,68,38,31,22,12,128,103,61,94,40,46,46,47,33,19,55,51,52,43,26
83,10120,droite,18,7,5,4,2,38,13,8,4,2,60,53,24,39,16,8,9,11,5,3,8,7,8,5,3
84,10222,droite,18,7,5,4,2,38,13,8,4,2,60,53,24,39,16,8,9,11,5,3,8,7,8,5,3
85,10426,droite,64,33,31,28,18,56,8,7,7,4,53,65,44,46,23,19,26,18,16,9,65,41,45,38,25
86,10542,droite,165,107,107,93,62,83,15,16,15,11,133,156,132,137,70,52,74,54,50,29,217,147,157,135,89
87,10643,droite,348,250,250,216,144,123,28,35,31,22,287,325,298,305,157,116,161,122,114,67,492,351,367,316,207
88,10762,droite,590,450,445,383,254,171,47,61,51,38,501,549,524,531,274,207,276,216,201,119,860,633,653,562,367
89,10869,droite,829,657,642,554,365,215,67,88,72,53,727,772,752,758,392,304,389,312,289,171,1225,924,943,812,528
90,10991,droite,693,599,548,474,306,174,71,87,66,46,733,672,646,638,335,290,315,272,247,145,1033,831,806,692,443
91,11217,droite,693,599,548,474,306,174,71,87,66,46,733,672,646,638,335,290,315,272,247,145,1033,831,806,692,443
