n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
52,6663,droite,633,164,70,29,10,49,36,33,27,17,101,95,95,98,58,77,76,71,63,41,111,112,113,99,61
53,6718,droite,633,164,70,29,10,49,36,33,27,17,101,95,95,98,58,77,76,71,63,41,111,112,113,99,61
54,6924,droite,388,147,93,66,37,240,209,200,170,112,695,649,629,578,346,524,508,475,418,266,755,737,744,649,401
55,7029,droite,388,147,93,66,37,240,209,200,170,112,695,649,629,578,346,524,508,475,418,266,755,737,744,649,401
56,7142,droite,213,177,138,123,79,537,473,453,381,252,1611,1486,1424,1293,771,1211,1156,1076,948,598,1741,1671,1682,1467,904
57,7252,droite,191,195,152,140,91,619,551,527,439,290,1877,1722,1644,1492,887,1410,1339,1244,1095,689,2034,1931,1943,1694,1043
58,7438,droite,189,195,148,138,90,622,554,527,433,287,1872,1709,1625,1475,875,1406,1328,1231,1083,680,2025,1912,1925,1676,1031
59,7579,droite,167,170,126,118,77,549,482,452,366,243,1598,1450,1374,1250,740,1200,1127,1042,917,575,1736,1620,1632,1420,872
60,7582,droite,167,170,126,118,77,549,482,452,366,243,1598,1450,1374,1250,740,1200,1127,1042,917,575,1736,1620,1632,1420,872
61,7792,droite,83,79,56,52,34,315,231,203,153,103,680,608,572,528,312,512,474,435,382,239,746,681,689,596,365
62,7940,droite,47,41,28,26,17,225,128,102,70,47,309,273,256,243,144,234,214,195,171,107,345,309,314,270,165
63,8010,droite,47,41,28,26,17,225,128,102,70,47,309,273,256,243,144,234,214,195,171,107,345,309,314,270,165
64,8163,droite,17,10,7,5,3,143,42,20,7,4,15,12,12,22,14,13,10,9,8,5,27,19,20,15,9
65,8251,droite,14,7,6,4,2,123,35,15,5,2,1,1,2,12,9,3,2,1,1,1,12,6,7,4,2
66,8391,droite,13,6,6,4,2,96,32,14,5,2,1,1,2,13,8,3,2,1,1,1,11,5,6,3,1
67,8528,droite,11,4,5,3,1,76,28,13,5,2,1,1,2,13,8,3,3,2,2,1,9,4,5,3,1
68,8672,droite,9,3,4,3,1,58,24,11,5,2,1,1,2,13,8,4,3,2,2,1,8,3,5,2,1
69,8819,droite,6,2,4,2,1,53,19,9,5,2,2,2,2,14,8,4,4,2,2,2,6,2,4,2,1
70,8897,droite,5,2,3,2,1,60,15,8,6,2,2,2,2,15,7,4,4,2,2,2,5,2,4,2,1
71,8976,droite,5,2,3,2,1,60,15,8,6,2,2,2,2,15,7,4,4,2,2,2,5,2,4,2,1
72,9076,droite,5,2,3,2,1,74,13,8,6,2,2,2,2,17,8,4,3,2,2,2,4,2,3,2,1
73,9236,droite,5,2,3,2,1,92,11,9,8,3,2,2,2,18,8,4,3,1,2,2,4,2,3,1,1
74,9405,droite,6,3,3,2,1,120,11,12,9,3,2,2,2,20,8,4,2,2,1,1,3,2,3,1,1
75,9489,droite,6,3,3,2,1,120,11,12,9,3,2,2,2,20,8,4,2,2,1,1,3,2,3,1,1
76,9653,droite,4,2,3,2,1,111,15,12,10,5,2,1,2,21,9,3,1,2,1,1,2,2,3,1,1
77,9749,droite,3,2,3,2,1,100,18,11,12,6,2,1,2,22,10,2,1,2,1,1,2,2,3,1,1
78,9843,droite,3,2,3,2,1,100,18,11,12,6,2,1,2,22,10,2,1,2,1,1,2,2,3,1,1
79,10024,droite,1,2,3,2,1,99,28,12,15,8,2,1,2,24,10,1,1,1,0,1,2,1,3,2,1
80,10127,droite,1,2,3,2,1,112,33,15,15,8,2,1,2,24,10,1,1,1,0,1,2,1,3,2,1
81,10207,droite,1,2,3,2,1,112,33,15,15,8,2,1,2,24,10,1,1,1,0,1,2,1,3,2,1
82,10405,droite,1,2,3,2,1,123,39,20,14,8,2,1,2,24,9,1,1,1,0,1,2,1,2,2,1
83,10501,droite,1,2,3,3,1,127,43,26,11,7,2,1,2,23,9,1,1,1,0,0,2,2,3,2,2
84,10599,droite,2,3,3,3,1,120,46,30,9,6,2,1,2,21,8,1,1,1,0,0,3,2,3,2,2
85,10792,droite,2,3,3,3,1,98,46,33,6,5,1,1,2,20,8,2,1,1,0,0,4,3,2,2,1
