n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
54,6805,11,7,7,2,2,797,547,181,103,77,17,16,11,37,80,4,2,3,4,4,15,5,5,2,2
55,6929,13,8,6,2,2,716,433,170,85,64,17,17,16,35,82,4,2,4,4,4,17,6,5,2,2
56,7058,15,9,5,2,2,575,311,161,66,50,16,18,19,31,81,3,3,5,3,3,18,6,5,2,2
57,7178,18,9,4,2,2,389,211,148,50,38,15,19,21,27,74,3,3,5,3,3,19,5,4,2,2
58,7305,19,8,3,2,2,226,148,128,37,31,13,20,20,25,63,2,3,5,2,3,19,5,4,2,2
59,7429,21,7,3,1,2,105,117,103,28,28,12,19,18,24,51,2,3,5,2,2,18,4,3,2,2
60,7557,20,6,2,1,2,50,100,77,23,28,11,17,15,24,42,2,3,4,1,2,17,3,2,2,2
61,7678,18,5,2,1,2,30,85,56,23,28,12,17,13,25,37,2,3,3,1,2,14,3,2,2,2
62,7805,15,5,2,2,2,27,73,45,26,27,12,17,12,26,37,2,3,2,1,3,12,3,1,2,2
63,7926,12,4,2,2,1,28,66,44,32,25,13,18,12,25,39,2,4,2,2,3,9,3,1,2,2
64,8060,9,4,2,2,1,30,66,48,38,22,13,18,12,24,42,2,4,2,2,2,7,3,1,2,1
65,8178,7,4,1,2,1,37,72,52,43,19,13,19,12,21,43,4,5,2,2,2,6,4,1,2,1
66,8302,6,4,1,2,1,42,79,53,45,16,13,19,11,19,41,5,5,2,2,2,4,4,1,2,1
67,8428,6,5,1,2,1,56,84,51,46,15,13,19,9,18,36,6,4,2,1,2,4,5,1,2,1
68,8556,5,6,1,2,1,71,82,48,47,15,15,19,7,18,31,7,4,1,1,2,3,5,1,2,1
69,8678,5,7,1,2,1,90,74,45,47,16,16,19,6,19,26,7,3,1,1,2,3,6,1,2,1
70,8801,5,8,1,2,1,106,62,45,46,16,18,19,6,21,22,6,2,1,1,2,3,6,1,2,1
71,8927,4,8,1,2,1,116,51,46,45,17,19,19,6,22,20,5,2,1,1,1,3,6,1,2,2
72,9056,4,8,2,2,2,118,44,47,44,17,19,17,7,24,19,5,2,2,1,1,3,6,2,2,2
73,9177,3,7,2,2,2,113,45,47,41,18,16,15,9,24,20,4,1,2,1,1,3,6,3,2,2
74,9302,3,6,3,2,2,109,52,47,39,18,14,12,10,24,21,4,2,2,2,1,3,5,3,2,2
75,9427,3,6,3,3,2,109,62,47,37,18,11,9,10,23,23,4,2,2,2,1,3,5,4,2,2
76,9557,3,6,3,3,2,109,62,47,37,18,11,9,10,23,23,4,2,2,2,1,3,5,4,2,2
77,9678,3,5,3,2,2,131,86,51,33,16,8,7,12,20,28,4,3,2,2,2,3,5,4,2,2
78,9802,4,5,2,2,2,143,97,57,30,15,9,8,12,18,30,4,3,2,2,2,4,5,3,2,2
79,9929,4,5,2,2,2,149,105,62,26,14,9,9,12,17,33,4,3,2,1,2,3,5,3,2,2
80,10058,5,5,2,2,1,147,109,66,22,14,10,12,12,17,37,4,4,3,1,2,3,5,2,2,2
81,10178,6,5,2,2,1,142,108,65,20,14,11,16,11,18,42,4,4,3,2,2,3,5,2,2,1
82,10303,6,5,2,2,1,149,106,61,20,15,12,20,10,21,48,4,4,4,2,2,3,4,2,2,1
83,10430,7,4,3,2,1,173,107,58,23,18,13,23,10,25,55,4,4,5,2,3,4,3,2,2,1
84,10557,7,3,3,2,1,221,116,61,28,22,14,25,9,28,61,4,4,6,2,3,5,3,2,2,1
85,10681,7,2,3,2,1,278,133,71,35,27,14,25,9,29,63,4,5,6,2,3,6,2,2,2,1
86,10802,8,2,2,2,1,326,155,88,42,33,14,23,10,30,63,4,5,6,3,3,7,2,2,1,2
87,10926,8,2,2,2,2,349,174,106,48,39,13,21,10,30,61,4,4,6,3,3,7,2,2,1,2
88,11057,8,3,1,1,2,333,180,121,52,44,11,18,11,30,57,4,4,5,3,3,7,2,1,1,2
89,11178,8,3,1,1,2,294,171,126,53,45,9,16,13,30,54,4,4,4,3,3,6,3,1,1,2
90,11306,7,4,1,1,2,247,150,121,51,43,7,15,15,31,54,4,4,3,3,3,5,3,1,1,2
91,11429,6,4,1,1,2,199,126,108,46,38,7,14,17,30,56,4,4,3,3,3,4,4,1,1,2
92,11556,5,5,2,1,2,176,106,91,40,31,8,13,19,28,60,3,3,3,3,3,4,4,2,1,2
93,11679,5,5,2,1,1,158,92,75,33,24,11,12,21,26,61,3,3,2,3,3,4,4,2,2,2
94,11802,6,6,3,2,1,155,83,62,26,19,15,11,22,24,60,2,3,2,3,3,5,5,3,2,2
95,11927,9,7,4,2,1,140,73,51,20,14,20,11,22,23,56,2,3,2,3,3,9,6,3,2,1
96,12061,13,8,4,2,1,118,60,40,14,10,27,11,22,24,49,2,3,2,3,3,14,8,4,2,1
97,12177,17,9,5,2,1,92,43,29,10,7,34,12,21,27,41,3,3,1,3,3,18,9,4,3,2
98,12302,20,9,5,2,1,67,31,21,8,5,42,14,21,31,35,3,3,1,3,2,21,10,4,3,2
99,12428,20,9,5,2,1,67,31,21,8,5,42,14,21,31,35,3,3,1,3,2,21,10,4,3,2
100,12556,21,9,4,3,1,207,98,24,17,5,50,18,23,34,31,3,3,1,2,2,22,11,4,3,2
101,12681,15,7,3,2,1,3857,1506,203,162,36,56,29,35,38,29,3,3,2,2,3,16,8,3,2,2
102,12878,11,5,2,2,1,8474,3854,604,372,127,55,35,42,38,31,4,3,2,2,3,12,6,3,2,1
103,13008,8,4,2,2,1,14721,7744,1365,699,317,49,40,47,39,33,5,3,2,2,3,9,5,2,2,1
104,13131,7,3,2,2,1,21147,12718,2431,1100,607,42,43,48,39,36,6,3,3,2,3,7,4,3,1,1
105,13253,8,3,2,1,1,26193,17610,3575,1479,940,34,43,45,39,37,7,3,3,2,3,7,3,3,1,2
106,13373,9,3,3,1,1,27970,20946,4452,1722,1221,27,39,39,38,38,7,3,4,2,3,8,3,3,1,2
107,13569,10,2,3,1,2,26340,21608,4773,1749,1356,21,34,32,36,38,6,3,5,2,3,8,3,3,1,2
108,13571,9,2,3,1,2,21489,19349,4415,1548,1297,17,27,26,33,38,5,3,5,3,3,8,3,2,1,2
109,13703,8,2,3,1,2,15363,14929,3508,1185,1064,14,21,22,29,38,4,3,5,3,3,8,3,2,1,3
110,13831,7,2,2,1,2,9328,9740,2349,769,737,13,17,19,26,37,2,2,4,4,3,7,4,2,1,3
111,13975,5,2,2,1,2,4861,5192,1281,410,416,14,16,17,25,36,1,2,4,4,3,6,4,2,1,2
112,14112,5,2,2,1,2,2102,2118,530,168,179,15,17,16,26,34,1,2,3,4,3,5,5,1,1,2
113,14256,4,2,2,1,2,746,583,146,46,51,16,18,14,30,31,1,1,2,4,2,4,5,1,1,2
114,14406,4,2,2,1,2,182,79,20,6,7,17,17,13,35,27,1,1,1,4,2,4,5,2,1,2
115,14651,5,3,2,1,1,12,2,0,0,0,17,16,10,40,23,1,1,1,4,2,5,4,2,1,2
116,14652,5,3,3,1,1,0,0,0,0,0,16,13,8,43,20,1,1,1,4,2,6,4,2,1,1
117,14815,6,3,3,1,1,0,0,0,0,0,15,9,6,45,18,1,1,1,5,2,8,4,2,1,1
118,14816,7,3,3,2,1,0,0,0,1,0,14,6,5,45,18,1,1,1,5,1,9,4,2,1,1
119,14980,8,3,3,2,1,0,1,1,1,0,13,4,6,43,20,1,1,0,6,1,9,4,2,1,1
120,15159,8,3,2,2,1,1,2,3,3,1,12,4,7,40,21,1,1,0,6,1,9,4,2,1,1
121,15333,8,3,2,2,1,3,4,6,8,2,12,4,9,37,22,1,1,0,6,1,8,4,2,1,1
122,15333,8,3,2,2,1,7,6,11,16,3,13,4,10,34,23,1,1,0,6,1,7,4,2,1,1
123,15569,8,3,2,2,1,7,6,11,16,3,13,4,10,34,23,1,1,0,6,1,7,4,2,1,1
124,15785,7,3,2,1,1,12,8,15,27,4,14,5,11,30,22,1,2,1,6,2,6,5,3,1,1
125,15785,6,4,3,1,1,26,14,25,53,8,15,7,10,23,21,1,2,2,5,2,5,5,5,2,1
126,15962,6,4,4,1,1,43,16,29,62,10,14,9,9,19,21,2,2,3,4,2,6,6,6,2,1
127,15962,7,6,4,1,1,59,20,33,65,12,12,11,8,16,22,3,2,4,3,2,7,7,6,2,1
128,16144,10,7,4,1,1,92,27,38,62,14,11,14,7,14,23,4,3,4,2,2,10,8,5,2,1
129,16317,14,9,3,1,1,122,42,49,55,15,10,16,7,14,24,6,3,4,2,2,14,10,4,2,1
130,16318,18,11,2,1,1,192,67,67,46,15,10,18,8,17,25,8,3,3,2,2,18,11,3,2,1
131,16580,22,12,2,2,1,263,100,94,38,15,11,19,10,22,26,9,2,3,2,2,20,12,2,2,1
132,16831,23,12,2,2,1,367,138,124,31,15,12,19,12,27,28,9,2,2,1,1,21,12,2,2,1
133,16832,21,11,1,2,1,441,171,148,28,14,12,18,14,31,32,9,2,2,1,1,19,10,1,2,1
134,16833,17,9,1,2,1,501,191,157,27,14,12,17,15,33,38,8,1,2,1,1,15,8,1,2,1
135,17029,12,8,2,2,1,495,193,149,28,14,12,16,16,32,46,6,1,3,1,1,10,6,1,2,1
136,17241,8,6,2,2,1,453,176,124,30,15,13,16,16,29,54,5,1,4,2,1,6,4,2,1,1
137,17242,4,5,2,1,1,366,147,92,31,16,16,17,16,25,59,3,1,4,2,2,4,3,2,1,1
138,17404,3,4,3,1,1,280,114,60,31,16,20,17,16,21,61,2,1,4,2,2,3,3,2,1,1
139,17721,3,4,3,1,1,206,85,38,30,17,26,18,15,18,58,1,1,3,3,2,3,3,2,1,1
140,17723,3,3,3,2,1,167,63,27,26,18,33,19,15,17,52,1,1,2,3,3,4,3,2,2,1
141,17723,4,3,3,2,1,145,49,25,23,18,39,19,14,16,45,1,1,2,3,3,4,3,2,2,1
142,17924,4,3,2,2,1,140,42,26,20,18,42,18,14,15,39,1,1,1,4,3,5,3,1,2,1
143,18149,5,3,2,2,1,129,38,28,18,18,42,16,13,15,36,1,1,1,4,3,6,3,1,2,1
144,18149,6,3,2,2,1,112,40,31,18,18,38,14,11,14,36,1,1,1,4,3,7,3,1,2,1
145,18349,7,4,2,2,1,104,46,32,19,17,34,12,10,14,38,2,1,1,5,3,9,3,1,2,1
146,18350,9,5,2,2,1,141,57,33,21,17,29,9,8,14,41,2,1,1,5,3,10,4,1,2,1
147,18644,13,7,2,2,1,247,74,33,23,16,27,8,6,14,44,3,1,1,5,3,10,4,1,2,1
148,18645,13,7,2,2,1,247,74,33,23,16,27,8,6,14,44,3,1,1,5,3,10,4,1,2,1
149,18871,41,20,3,3,1,691,119,30,25,14,26,11,6,20,49,14,5,2,5,3,8,6,2,2,1
150,18872,62,29,4,4,2,944,137,27,23,13,26,14,7,28,52,31,13,4,5,3,6,7,2,3,2
151,19125,82,36,5,5,2,1107,143,23,20,11,25,17,9,38,57,57,26,7,6,3,4,7,2,3,2
152,19126,93,39,5,5,2,1135,132,17,15,9,25,19,12,49,64,86,42,11,6,4,3,7,2,3,2
