n,time,metadata,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
0,6,gauche,200,240,145,262,160,141,140,242,114,423,504,120,132,69,198,360,135,101,263,164,223,189,304,276,171
1,16,gauche,135,212,113,213,138,125,140,230,126,469,433,92,126,74,190,243,105,84,239,132,136,137,216,201,146
2,132,gauche,100,193,82,169,128,115,149,206,139,493,355,86,115,86,175,159,82,76,225,117,83,100,137,159,129
3,272,gauche,96,179,58,136,123,109,163,179,149,486,298,94,104,100,153,115,67,74,221,116,57,78,84,146,119
4,406,gauche,118,164,47,113,119,104,176,156,156,450,271,107,92,111,126,109,64,78,220,120,50,67,56,148,112
5,513,gauche,162,152,50,103,115,97,180,143,159,393,274,117,79,115,100,128,78,83,219,123,53,67,45,155,109
6,637,gauche,229,146,67,104,113,91,175,143,164,331,292,120,65,111,80,160,108,88,217,123,71,75,44,163,110
7,773,gauche,311,142,97,118,119,86,164,151,171,279,309,114,54,101,70,197,144,96,214,122,108,89,49,174,119
8,891,gauche,393,141,137,149,137,86,155,158,182,246,309,102,47,92,72,227,172,113,216,126,159,109,62,190,136
9,1065,gauche,466,141,183,196,171,94,157,157,193,232,299,92,47,89,88,252,185,151,223,143,224,137,88,216,164
10,1176,gauche,510,146,234,254,221,112,172,144,201,233,285,94,54,97,119,270,185,213,236,181,294,177,138,250,203
11,1285,gauche,527,153,284,311,286,143,202,123,204,245,281,114,66,113,163,287,181,296,249,243,369,231,222,288,254
12,1423,gauche,527,153,284,311,286,143,202,123,204,245,281,114,66,113,163,287,181,296,249,243,369,231,222,288,254
13,1546,gauche,523,167,365,369,434,252,287,81,195,284,314,210,97,148,265,332,211,455,249,407,508,361,475,348,391
14,1692,gauche,531,173,388,355,500,316,326,70,193,299,339,267,111,155,299,358,261,492,234,481,557,414,602,352,464
