n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
48,6046,neutre,328,354,309,287,178,1121,1156,1054,945,590,593,450,494,360,241,386,426,370,338,207,1065,958,967,834,525
49,6202,neutre,339,360,315,291,181,1156,1176,1075,961,600,612,461,502,368,244,400,432,378,344,210,1088,981,984,849,533
50,6367,neutre,299,313,275,254,158,1020,1025,939,837,522,547,406,436,322,214,354,375,331,299,183,954,860,857,740,463
51,6420,neutre,225,230,203,187,116,764,757,695,618,385,417,305,321,241,161,265,276,245,220,135,709,640,633,547,341
52,6532,neutre,139,140,124,114,70,472,461,424,376,234,267,190,195,151,103,165,167,150,134,82,435,392,385,333,207
53,6757,neutre,68,66,59,54,33,228,218,201,178,110,141,94,93,77,55,80,79,71,63,39,208,188,182,158,98
54,6757,neutre,23,22,20,18,11,78,72,66,58,36,62,35,32,32,27,27,26,24,21,13,69,62,59,52,32
55,6964,neutre,4,4,3,3,2,14,12,11,10,6,27,10,9,14,15,5,4,4,4,2,12,11,10,9,5
56,7115,neutre,0,0,0,0,0,0,0,0,0,0,20,5,5,10,13,0,0,0,0,0,0,0,0,0,0
57,7184,neutre,0,0,0,0,0,0,0,0,0,0,20,5,6,10,14,0,0,0,0,0,0,0,0,0,0
58,7336,neutre,0,0,0,0,0,0,0,0,0,0,20,5,8,9,14,0,0,0,0,0,0,0,0,0,0
59,7485,neutre,0,0,0,0,0,0,0,0,0,0,19,5,9,8,14,0,0,0,0,0,0,0,0,0,0
60,7567,neutre,0,0,0,0,0,0,0,0,0,0,17,6,10,8,14,0,0,0,0,0,0,0,0,0,0
61,7726,neutre,0,0,0,0,0,0,0,0,0,0,13,6,9,8,14,0,0,0,0,0,0,0,0,0,0
62,7874,neutre,0,0,0,0,0,0,0,0,0,0,9,6,8,8,13,0,0,0,0,0,0,0,0,0,0
63,7959,neutre,0,0,0,0,0,0,0,0,0,0,6,5,6,8,13,0,0,0,0,0,0,0,0,0,0
64,8120,neutre,0,0,0,0,0,0,0,0,0,0,3,5,4,8,13,0,0,0,0,0,0,0,0,0,0
65,8277,neutre,0,0,0,0,0,0,0,0,0,0,1,4,2,8,13,0,0,0,0,0,0,0,0,0,0
66,8364,neutre,0,0,0,0,0,0,0,0,0,0,1,3,1,8,12,0,0,0,0,0,0,0,0,0,0
67,8525,neutre,0,0,0,0,0,0,0,0,0,0,0,2,1,7,12,0,0,0,0,0,0,0,0,0,0
68,8602,neutre,0,0,0,0,0,0,0,0,0,1,0,1,0,7,11,0,0,0,0,0,0,0,0,0,0
69,8779,neutre,0,0,0,0,0,2,1,1,1,1,0,1,0,7,11,0,0,0,0,0,0,0,0,0,0
